dua_id,duaId,duaArabic,dua_ur,dua_en,duaReference_ur,duaReference_en,duaType_ur,duaType_en,duaTitle_ur,duaTitle_en,Dua_IRI
1,QuranicDua-00,سُبْحَانَ اللهِ وَبِحَمْدِہِ  سُبْحَانَ اللهِ الْعَظِیْمِ,پاک ہے اللہ اور اسی کی تعریف ہے، پاک ہے اللہ بہت بڑا,"Glory be to Allah and praise be to Him; Glory be to Allah, the Supreme.",(صحیح مسلم، کتاب الذکر و الدعائ، باب فضل التھلیل والتسبیح : 6846 ),(صحیح مسلم، کتاب الذکر و الدعائ، باب فضل التھلیل والتسبیح : 6846 ),حمد و ثناء,Praise & Glorification,حمد و ثناء,Praise And Glorification,
2,QuranicDua-01,سُبْحَانَ اللهِ وَبِحَمْدِهِ عَدَدَ خَلْقِهِ وَرِضٰی نَفْسِهِ وَزِنَةَ عَرْشِهِ وَمِدَادَ كَلِمَاتِهِ,پاک ہے اللہ اور اسی کی تعریف ہے اس کی مخلوق کی تعداد کے برابر، اس کی ذات کی رضا کے برابر، اس کے عرش کے وزن اور اس کے کلمات کی سیاہی کے برابر,Glory be to Allah and praise be to Him equivalent to the number of His creation and equivalent to what pleases His Being and equivalent to the weight of His Throne and equivalent to the ink of His Words.,( صحیح مسلم، کتاب الذکر والدعائ،  باب التسبیح اول النھار وعند النوم  :  6913 ),( صحیح مسلم، کتاب الذکر والدعائ،  باب التسبیح اول النھار وعند النوم  :  6913 ),حمد و ثناء,Praise & Glorification,حمد و ثناء,Praise And Glorification,
3,QuranicDua-02,اَللّٰهُمَّ اِنِّیْ اَسْاَلُكَ بِاَنَّ لَكَ الْحَمْدَ، لَا اِلٰهَ اِلَّا اَنْتَ الْمَنَّانُ بَدِیْعُ السَّمٰوٰتِ وَالْاَرْضِ، یَاذَاالْجَلَالِ وَالْاِكْرَامِ یَاحَیُّ یَاقَیُّومُ,اے اللہ! بے شک میں تجھ سے سوال کرتا ہوں بوجہ اس کے کہ سب تعریف تیرے لیے ہے، تیرے سوا کوئی معبود نہیں، بہت احسان کرنے والا، آسمانوں اور زمین کو نئے سرے سے پیدا کرنے والا، اے بزرگی اور عزت والے، اے ہمیشہ زندہ رہنے والے، اور اے ہمیشہ قائم رہنے والے,"O Allah! I ask of You, as all praise is for You, there is no deity execpt You, the most Gracious, Originator of the Heavens and the Earth, O the most Majestic and Honourable, O the Eternal and Self Subsisting.",(سنن أبی داؤد، کتاب الوتر ، باب الدعاء :1495  ) صحیح,(سنن أبی داؤد، کتاب الوتر ، باب الدعاء :1495  ) صحیح,حمد و ثناء,Praise & Glorification,اسم اعظم کے ذریعے سے سوال کرنا,Asking Allah through His Great Names,
4,QuranicDua-03,اَللّٰهُمَّ اِنِّیْ اَسْئَلُكَ بِاَنِّی اُشْهِدُكَ اَنَّكَ لَا اِلٰهَ اِلَّا اَنْتَ الْاَحَدُ الصَّمَدُ الَّذِی لَمْ يَلِدْ وَلَمْ يُولَدْ وَلَمْ يَكُنْ لَكَ كُفُوًا اَحَدٌ,اے اللہ! بے شک میں تجھ سے سوال کرتا ہوں ، بے شک میں تجھ کو گواہ بناتا ہوں کہ تیرے سوا کوئی معبود نہیں، تو اکیلا ہے، بے نیاز ہے،وہ جس سے نہ کوئی پیدا ہوا اور نہ وہ کسی سے پیدا ہوا اور نہ تیرے لیے کوئی ہمسر ہے,"O Allah, Indeed I ask You, as I bear witness that there is no deity except You, The One, Eternal Refuge, He One who neither begets nor is born, Nor is there to You any equivalent.",(صحیح ابن حبان، کتاب الرقائق، باب الأدعیة، ج : 3، حدیث :891  ) صحیح,(صحیح ابن حبان، کتاب الرقائق، باب الأدعیة، ج : 3، حدیث :891  ) صحیح,حمد و ثناء,Praise & Glorification,اسم اعظم کے ذریعے سے سوال کرنا,Asking Allah through His Great Names,
5,QuranicDua-04,اَللّٰهُمَّ صَلِّ عَلٰی مُحَمَّدٍ وَّعَلٰی آلِ مُحَمَّدٍ,اے اللہ ! محمدؐ اور آل محمدؐ پر رحمت نازل فرما,O Allah! bestow mercy upon Muhammadۖand the descendants of Muhammadۖ.,(سنن النسائی، کتاب السھو، باب نوع آخر :1293  ) حسن,(سنن النسائی، کتاب السھو، باب نوع آخر :1293  ) حسن,درود,Durood,درود,Durood,
6,QuranicDua-05,اَللّٰهُمَّ صَلِّ عَلٰی مُحَمَّدٍ النَّبِیِّ الْاُمِّیِّ وَعَلٰی آلِ مُحَمَّدٍ,اے اللہ ! نبی اُمی محمد ؐ اور آلِ  محمد ؐ پر رحمت نازل فرما ,"O Allah! Bestow Mercy upon Muhammadۖ, the unlettered messenger and upon the family of Muhammadۖ .",(سنن أبی داؤد، کتاب الصلاة، باب الصلاة علی النبیۖ بعد التشھد :981 ) صحیح,(سنن أبی داؤد، کتاب الصلاة، باب الصلاة علی النبیۖ بعد التشھد :981 ) صحیح,درود,Durood,درود,Durood,
7,QuranicDua-06,اَللّٰهُمَّ صَلِّ عَلٰی مُحَمَّدٍ عَبْدِكَ وَرَسُوْلِكَ كَمَا صَلَّیْتَ عَلٰی اِبْرَاهِیْمَ وَبَارِكْ عَلٰی مُحَمَّدٍ وَّ عَلٰی آلِ مُحَمَّدٍ كَمَا بَارَكْتَ عَلٰی اِبْرَاهِیْمَ  وَآلِ اِبْرَاهِیْمَ,اے اللہ ! اپنے بندے اور رسول محمدۖ پر اسی طرح رحمت نازل فرما جس طرح تو نے ابراہیم پر رحمت نازل فرمائی اور محمد ۖ اور آلِ محمدۖ پر اسی طرح برکت نازل فرما جس طرح تو نے ابراہیم اور آل ابراہیم پر برکت نازل فرمائی,"O Allah! Send mercy upon your servant and messenger, Muhammadۖ, as You sent mercy upon Ibrahim(A.S) and send blessings on Muhammad ۖ and on the family of Muhammad ۖ, as You sent blessings on Ibrahim(A.S) and the family of Ibrahim(A.S).",(صحیح البخا ری، کتاب الدعوات، باب الصلاة علی النبیۖ :6358  ),(صحیح البخا ری، کتاب الدعوات، باب الصلاة علی النبیۖ :6358  ),درود,Durood,درود,Durood,<http://www.i-knex.com/ontology/hadith#SB-HD6358>
8,QuranicDua-07,اَللّٰهُمّ صَلِّ عَلٰی مُحَمَّد وَّ عَلٰی آلِ مُحَمَّدٍ كَمَا صَلَّیْتَ عَلٰی اِبْرَاهِیْمَ وَعَلٰی آلِ اِبْرَاهِیْمَ اِنَّكَ حَمِیْدٌ مَّجِیْد، اَللّٰهُمَّ بَارِكْ عَلٰی مُحَمَّدٍ وَّ عَلٰی آلِ مُحَمَّدٍ كَمَا بَارَكْتَ عَلٰی اِبْرَاهِیْمَ وَعَلٰی آلِ اِبْرَاهِیْمَ اِنَّكَ حَمِیْدٌ مَّجِیْد,اے اللہ ! محمدۖ اور آلِ محمد ۖ پر ا سی طرح رحمت نازل فرما جس طرح تو نے ابراہیم اور آلِ ابراہیم پر رحمت نازل فرمائی ، بے شک تو ہی تعریف اور بزرگی والا ہے ، اے اللہ ! محمدۖ او ر آلِ محمدۖ پر ا سی طرح برکت نازل فرما جس طرح تو نے ابراہیم اور آلِ ابراہیم پر برکت نازل فرمائی ، بے شک توہی تعریف اور بزرگی والا ہے,"O Allah, send prayers upon Muhammadۖ and the followers of Muhammadۖ, just as You sent prayers upon Ibrahim(A.S) and upon the followers of Ibrahim(A.S). Verily, You are full of praise and majesty. O Allah, send blessings upon Muhammadۖ and upon the family of Muhammadۖ, just as You sent blessings upon Ibrahim(A.S) and upon the family of Ibrahim(A.S). Verily, You are the Most Praise worthy, the Most Glorious.",(صحیح البخا ری، کتاب الأحادیث الأنبیائ، باب  :3370  ),(صحیح البخا ری، کتاب الأحادیث الأنبیائ، باب  :3370  ),درود,Durood,درود,Durood,<http://www.i-knex.com/ontology/hadith#SB-HD3370>
9,QuranicDua-08,رَبِّ اشْرَحْ لِي صَدْرِي ۝ وَيَسِّرْ لِي أَمْرِي ۝ وَاحْلُلْ عُقْدَةً مِّن لِّسَانِي ۝ يَفْقَهُوا قَوْلِي ۝,اے میرے رب! میرا سینہ کھول دے اور میرا کام آسان کر دے اور میری زبان کی گرہ کھول دے تاکہ وہ میری بات سمجھ سکیں,"O My Lord, expand for me my chest. And ease for me my task. And untie the knot from my tongue. That they may understand my speech.",( طٰه :28-25  ),( طٰه :28-25  ),قرآنى دعاء‎,Qurani Dua,انشراح صدر کی دعا,Dua for the Expansion of Chest,
10,QuranicDua-09,رَبِّ زِدْنِیْ عِلْمًا,اے میرے رب ! میرے علم میں اضافہ فرما,"My Lord, increase me in knowledge.",( طٰه :  114 ),( طٰه :  114 ),قرآنى دعاء‎,Qurani Dua,علم میں اضافے کی دعا,Dua for Increase in Knowledge,
